band,species,year,beak length (mm),beak depth (mm)
16306,fortis,1991,11.3,10.2
16309,fortis,1991,10.9,8.6
16310,fortis,1991,11.0,9.0
16315,fortis,1991,10.9,8.8
16316,fortis,1991,10.8,8.1
16317,fortis,1991,10.2,8.2
16319,fortis,1991,10.8,9.0
16331,fortis,1991,10.9,9.8
16333,fortis,1991,10.2,9.1
16336,fortis,1991,12.5,9.9
16337,fortis,1991,11.3,9.2
16341,fortis,1991,10.3,9.5
16344,fortis,1991,9.4,8.5
16356,fortis,1991,11.05,9.4
16360,fortis,1991,10.7,9.4
16367,fortis,1991,9.7,8.6
16374,fortis,1991,10.6,9.0
16378,fortis,1991,11.55,9.8
16380,fortis,1991,11.0,9.2
16385,fortis,1991,10.8,8.8
16386,fortis,1991,9.53,8.27
16387,fortis,1991,11.9,10.3
16391,fortis,1991,10.6,9.2
16394,fortis,1991,10.8,9.6
16395,fortis,1991,11.05,9.8
16396,fortis,1991,12.5,10.3
16398,fortis,1991,12.1,9.8
16507,fortis,1991,10.9,10.1
16511,fortis,1991,10.7,9.3
16514,fortis,1991,10.8,9.5
16518,fortis,1991,12.0,10.0
16531,fortis,1991,11.65,9.95
16549,fortis,1991,10.6,9.0
16550,fortis,1991,10.75,9.05
16551,fortis,1991,11.1,9.0
16553,fortis,1991,10.9,9.2
16554,fortis,1991,10.9,10.4
16559,fortis,1991,11.3,9.9
16560,fortis,1991,11.6,9.6
16564,fortis,1991,12.1,10.3
16565,fortis,1991,12.1,10.0
16566,fortis,1991,12.0,10.2
16575,fortis,1991,11.6,10.5
16579,fortis,1991,11.8,10.4
16580,fortis,1991,11.3,9.3
16583,fortis,1991,10.3,8.5
16590,fortis,1991,9.6,7.7
16594,fortis,1991,11.5,9.9
16595,fortis,1991,11.9,10.3
16596,fortis,1991,11.8,10.5
16597,fortis,1991,10.1,8.8
16598,fortis,1991,9.9,8.8
16803,fortis,1991,12.1,9.85
16805,fortis,1991,11.3,9.5
16807,fortis,1991,9.7,7.5
16808,fortis,1991,11.15,9.45
16810,fortis,1991,10.65,9.1
16811,fortis,1991,9.9,7.5
16815,fortis,1991,10.3,8.9
16816,fortis,1991,11.4,9.8
16817,fortis,1991,11.7,9.7
16818,fortis,1991,11.3,10.1
16833,fortis,1991,11.8,9.4
16834,fortis,1991,11.55,9.0
16836,fortis,1991,12.3,9.9
16840,fortis,1991,10.9,9.0
16851,fortis,1991,10.3,8.6
16858,fortis,1991,11.5,9.4
16859,fortis,1991,10.4,8.65
16861,fortis,1991,10.1,8.7
16869,fortis,1991,11.75,9.65
16875,fortis,1991,10.1,8.1
16889,fortis,1991,9.55,7.8
16891,fortis,1991,9.7,8.0
16895,fortis,1991,10.0,8.3
17010,fortis,1991,11.3,8.9
17013,fortis,1991,11.0,9.3
17014,fortis,1991,10.0,8.2
17033,fortis,1991,10.6,9.3
17037,fortis,1991,10.77,9.03
17048,fortis,1991,10.0,8.3
17057,fortis,1991,12.3,10.1
17061,fortis,1991,10.7,10.0
17063,fortis,1991,9.85,8.6
17067,fortis,1991,10.8,9.1
17070,fortis,1991,10.6,9.2
17073,fortis,1991,10.6,8.53
17075,fortis,1991,10.7,9.0
17083,fortis,1991,10.4,9.6
17095,fortis,1991,10.7,8.9
17109,fortis,1991,10.0,9.0
17111,fortis,1991,9.7,8.7
17113,fortis,1991,9.7,8.6
17114,fortis,1991,10.5,8.6
17116,fortis,1991,10.7,9.3
17136,fortis,1991,11.0,9.1
17145,fortis,1991,11.0,9.9
17160,fortis,1991,10.9,9.3
17168,fortis,1991,10.7,8.3
17179,fortis,1991,9.73,8.37
17188,fortis,1991,9.0,7.9
17301,fortis,1991,9.4,9.2
17307,fortis,1991,8.8,8.0
17310,fortis,1991,8.9,7.9
17311,fortis,1991,10.8,8.7
17315,fortis,1991,11.3,9.0
17344,fortis,1991,10.6,9.6
17360,fortis,1991,11.1,9.8
17367,fortis,1991,12.0,10.2
17369,fortis,1991,13.0,11.2
17379,fortis,1991,10.6,8.6
17380,fortis,1991,11.85,9.2
17381,fortis,1991,10.9,8.5
17384,fortis,1991,11.5,10.3
17386,fortis,1991,11.1,9.9
17388,fortis,1991,11.9,10.2
17395,fortis,1991,11.7,10.0
17403,fortis,1991,9.7,8.0
17410,fortis,1991,11.8,10.4
17411,fortis,1991,10.0,9.1
17415,fortis,1991,10.13,8.7
17416,fortis,1991,10.7,9.1
17418,fortis,1991,10.8,8.9
17419,fortis,1991,10.6,9.0
17436,fortis,1991,10.7,8.3
17439,fortis,1991,11.4,9.7
17440,fortis,1991,11.1,9.2
17443,fortis,1991,11.0,8.8
17460,fortis,1991,11.47,10.0
17461,fortis,1991,10.2,9.0
17464,fortis,1991,11.0,9.7
17466,fortis,1991,10.6,9.6
17467,fortis,1991,11.7,9.5
17468,fortis,1991,10.7,8.8
17480,fortis,1991,9.8,7.5
17483,fortis,1991,10.1,7.8
17485,fortis,1991,10.9,9.0
17490,fortis,1991,10.7,9.9
17491,fortis,1991,10.6,8.9
17493,fortis,1991,11.6,10.5
17494,fortis,1991,11.9,10.7
17496,fortis,1991,12.4,10.0
17497,fortis,1991,11.0,9.0
17498,fortis,1991,10.6,9.7
17500,fortis,1991,10.0,8.9
17503,fortis,1991,9.8,7.9
17534,fortis,1991,10.15,8.95
17551,fortis,1991,9.3,7.7
17559,fortis,1991,11.8,9.8
17568,fortis,1991,10.8,8.9
17573,fortis,1991,9.9,9.0
17583,fortis,1991,9.9,8.4
17589,fortis,1991,11.5,10.4
17603,fortis,1991,10.5,9.17
17605,fortis,1991,11.2,9.1
17615,fortis,1991,12.4,9.4
17617,fortis,1991,10.1,8.2
17618,fortis,1991,10.85,8.1
17634,fortis,1991,10.75,8.85
17638,fortis,1991,8.9,6.9
17639,fortis,1991,10.0,8.9
17641,fortis,1991,11.2,9.5
17643,fortis,1991,11.0,8.7
17646,fortis,1991,12.3,9.9
17647,fortis,1991,11.6,10.2
17648,fortis,1991,11.1,9.4
17649,fortis,1991,11.7,10.6
17653,fortis,1991,11.0,8.4
17654,fortis,1991,10.8,8.6
17656,fortis,1991,9.5,8.2
17659,fortis,1991,10.8,8.8
17664,fortis,1991,10.5,9.2
17665,fortis,1991,9.5,8.1
17666,fortis,1991,11.7,10.5
17668,fortis,1991,11.0,9.5
17677,fortis,1991,10.6,9.0
17693,fortis,1991,10.5,8.8
17696,fortis,1991,11.1,10.1
17697,fortis,1991,10.9,9.6
17698,fortis,1991,10.7,9.6
17699,fortis,1991,10.8,9.5
17717,fortis,1991,11.55,9.65
17733,fortis,1991,10.7,9.4
17734,fortis,1991,11.3,10.0
17735,fortis,1991,10.6,8.8
17738,fortis,1991,10.4,9.9
17740,fortis,1991,10.7,8.7
17754,fortis,1991,9.8,9.0
17759,fortis,1991,11.6,9.7
17768,fortis,1991,10.1,8.4
17771,fortis,1991,11.7,9.8
17786,fortis,1991,11.7,9.6
17791,fortis,1991,10.8,9.8
17797,fortis,1991,10.3,8.5
17798,fortis,1991,10.65,8.85
17800,fortis,1991,10.8,8.9
17803,fortis,1991,10.7,9.2
17907,fortis,1991,10.7,9.0
17908,fortis,1991,10.2,8.8
17916,fortis,1991,9.7,7.4
17934,fortis,1991,10.4,8.7
17936,fortis,1991,11.5,9.0
17940,fortis,1991,11.1,9.8
17954,fortis,1991,10.3,9.2
17955,fortis,1991,11.5,10.0
17964,fortis,1991,10.9,9.5
17969,fortis,1991,9.9,8.8
17971,fortis,1991,10.8,8.8
17974,fortis,1991,10.1,9.0
17983,fortis,1991,10.9,9.0
17986,fortis,1991,11.2,9.0
17991,fortis,1991,12.7,10.65
17993,fortis,1991,11.8,10.5
17999,fortis,1991,11.5,9.5
2760,scandens,1991,14.2,9.25
3425,scandens,1991,14.9,8.8
4090,scandens,1991,14.95,9.26
4137,scandens,1991,15.8,10.0
4223,scandens,1991,15.07,8.77
4683,scandens,1991,13.6,9.13
4706,scandens,1991,14.8,9.5
4778,scandens,1991,13.7,9.3
5351,scandens,1991,13.6,8.95
5582,scandens,1991,15.07,8.87
5608,scandens,1991,15.8,9.7
5656,scandens,1991,14.9,9.7
10001,scandens,1991,13.43,8.41
10002,scandens,1991,14.64,9.21
10061,scandens,1991,15.2,9.6
10105,scandens,1991,14.9,9.4
10174,scandens,1991,15.2,9.25
10206,scandens,1991,13.43,9.3
10223,scandens,1991,15.2,9.8
10268,scandens,1991,14.53,9.43
10394,scandens,1991,12.07,9.0
10740,scandens,1991,14.75,9.3
13256,scandens,1991,15.35,9.85
13257,scandens,1991,14.47,9.62
13548,scandens,1991,14.3,9.0
14208,scandens,1991,12.73,9.52
14524,scandens,1991,15.3,9.9
14576,scandens,1991,13.8,8.6
14584,scandens,1991,15.04,9.21
14646,scandens,1991,14.3,9.38
14728,scandens,1991,14.29,9.37
14731,scandens,1991,14.04,9.02
14755,scandens,1991,13.6,8.9
14758,scandens,1991,13.84,8.91
14759,scandens,1991,14.04,9.06
14786,scandens,1991,13.7,8.4
14830,scandens,1991,14.7,8.7
14834,scandens,1991,13.75,8.7
14835,scandens,1991,14.09,8.91
14847,scandens,1991,15.3,10.1
14877,scandens,1991,15.2,10.27
14946,scandens,1991,14.9,9.65
14975,scandens,1991,13.95,9.28
14995,scandens,1991,14.2,9.2
15235,scandens,1991,14.04,7.96
15237,scandens,1991,13.0,8.3
15406,scandens,1991,14.2,8.9
15419,scandens,1991,14.9,8.6
15441,scandens,1991,14.6,9.1
15476,scandens,1991,13.6,8.6
15615,scandens,1991,14.63,9.37
15638,scandens,1991,14.35,9.2
15639,scandens,1991,14.2,9.1
15658,scandens,1991,14.45,9.85
15685,scandens,1991,13.84,9.02
15694,scandens,1991,13.14,9.51
15704,scandens,1991,12.34,8.81
15718,scandens,1991,10.75,7.77
15721,scandens,1991,11.89,8.96
15725,scandens,1991,11.5,8.8
15736,scandens,1991,15.0,9.1
15760,scandens,1991,14.34,9.01
15765,scandens,1991,13.85,8.9
15798,scandens,1991,13.15,8.4
15812,scandens,1991,14.85,9.25
15817,scandens,1991,14.77,9.73
15837,scandens,1991,14.45,9.2
15859,scandens,1991,14.57,8.95
15901,scandens,1991,14.5,8.7
15986,scandens,1991,14.17,8.72
16100,scandens,1991,14.3,9.6
16109,scandens,1991,14.0,9.3
16113,scandens,1991,14.9,10.4
16183,scandens,1991,14.0,8.9
16195,scandens,1991,11.8,9.3
16568,scandens,1991,12.15,8.4
16569,scandens,1991,12.7,8.6
16585,scandens,1991,13.7,8.9
16600,scandens,1991,15.0,10.1
16873,scandens,1991,14.4,8.9
17001,scandens,1991,12.8,8.8
17004,scandens,1991,14.05,9.25
17099,scandens,1991,13.3,8.6
17140,scandens,1991,13.1,8.7
17143,scandens,1991,12.9,8.4
17153,scandens,1991,14.8,9.5
17176,scandens,1991,14.15,8.65
17305,scandens,1991,14.4,9.0
17353,scandens,1991,14.6,9.0
17374,scandens,1991,13.0,8.5
17474,scandens,1991,14.6,9.75
17475,scandens,1991,13.8,9.1
17504,scandens,1991,13.9,9.3
17505,scandens,1991,13.6,8.6
17548,scandens,1991,13.9,9.0
17658,scandens,1991,14.3,9.1
17673,scandens,1991,14.7,8.2
17674,scandens,1991,13.5,8.1
17685,scandens,1991,14.0,9.4
17764,scandens,1991,13.1,9.0
17779,scandens,1991,12.9,8.8
17788,scandens,1991,14.6,10.1
17795,scandens,1991,13.3,8.8
17901,scandens,1991,14.8,9.5
17915,scandens,1991,11.8,8.3
17930,scandens,1991,12.8,8.7
17939,scandens,1991,12.6,8.6
17947,scandens,1991,11.8,7.9
17950,scandens,1991,10.3,8.7
17953,scandens,1991,11.1,9.5
17956,scandens,1991,13.7,9.0
17963,scandens,1991,13.8,8.9
19022,fortis,2012,10.0,8.5
19028,fortis,2012,12.5,8.9
19032,fortis,2012,9.3,7.5
19041,fortis,2012,10.3,9.6
19044,fortis,2012,11.0,9.2
19048,fortis,2012,10.1,8.2
19072,fortis,2012,9.6,7.8
19082,fortis,2012,10.9,8.6
19104,fortis,2012,10.3,8.4
19114,fortis,2012,9.8,7.7
19121,fortis,2012,10.1,8.0
19126,fortis,2012,10.4,8.7
19146,fortis,2012,9.6,8.1
19164,fortis,2012,10.6,8.8
19174,fortis,2012,10.6,9.4
19203,fortis,2012,11.9,10.0
19210,fortis,2012,11.3,9.6
19217,fortis,2012,11.3,9.6
19224,fortis,2012,9.7,8.1
19226,fortis,2012,9.7,7.5
19252,fortis,2012,10.1,8.4
19263,fortis,2012,10.0,7.9
19274,fortis,2012,10.0,8.3
19280,fortis,2012,10.0,8.9
19288,fortis,2012,11.5,9.1
19328,fortis,2012,9.5,7.7
19349,fortis,2012,11.2,8.3
19362,fortis,2012,10.7,8.6
19372,fortis,2012,10.0,8.4
19382,fortis,2012,9.8,7.7
19384,fortis,2012,10.9,9.1
19392,fortis,2012,9.2,7.7
19394,fortis,2012,10.2,9.0
19422,fortis,2012,11.3,10.2
19439,fortis,2012,10.3,8.1
19461,fortis,2012,10.7,8.6
19482,fortis,2012,10.0,8.4
19502,fortis,2012,9.7,8.1
19511,fortis,2012,9.9,8.0
19536,fortis,2012,10.7,8.3
19563,fortis,2012,11.0,10.3
19568,fortis,2012,9.7,8.0
19602,fortis,2012,10.5,8.8
19604,fortis,2012,11.7,9.0
19614,fortis,2012,10.8,9.3
19623,fortis,2012,9.1,7.6
19627,fortis,2012,10.9,8.2
19642,fortis,2012,12.2,10.0
19649,fortis,2012,10.9,8.2
19654,fortis,2012,10.7,8.2
19674,fortis,2012,10.4,8.3
19682,fortis,2012,9.7,7.8
19712,fortis,2012,10.3,8.0
19734,fortis,2012,9.8,8.4
19746,fortis,2012,10.6,9.3
19749,fortis,2012,10.5,8.9
19774,fortis,2012,12.5,9.7
19782,fortis,2012,9.2,7.6
19815,fortis,2012,10.1,9.0
19820,fortis,2012,10.6,8.6
19821,fortis,2012,11.5,8.9
19829,fortis,2012,10.8,8.6
19832,fortis,2012,10.5,8.8
19835,fortis,2012,10.1,8.5
19840,fortis,2012,10.7,9.2
19849,fortis,2012,9.6,8.0
19874,fortis,2012,10.7,9.4
19878,fortis,2012,10.1,7.7
19889,fortis,2012,10.0,8.4
19914,fortis,2012,10.0,8.5
19921,fortis,2012,10.4,9.0
19922,fortis,2012,10.4,9.0
19928,fortis,2012,11.7,9.3
19932,fortis,2012,10.6,8.7
19942,fortis,2012,11.5,8.1
19946,fortis,2012,10.7,8.7
19947,fortis,2012,10.4,7.9
19952,fortis,2012,10.1,7.7
19974,fortis,2012,10.8,8.4
19993,fortis,2012,11.5,9.25
19994,fortis,2012,11.1,8.1
21049,fortis,2012,9.9,8.3
21052,fortis,2012,10.5,8.5
21080,fortis,2012,12.2,9.9
21082,fortis,2012,10.9,8.4
21087,fortis,2012,12.9,9.9
21088,fortis,2012,9.7,7.2
21089,fortis,2012,9.7,8.2
21090,fortis,2012,10.0,8.2
21129,fortis,2012,10.1,8.3
21160,fortis,2012,10.2,8.4
21161,fortis,2012,9.6,7.5
21162,fortis,2012,9.9,8.2
21165,fortis,2012,10.6,8.6
21169,fortis,2012,9.8,8.2
21191,fortis,2012,11.1,8.8
21244,fortis,2012,10.0,8.5
21247,fortis,2012,10.9,8.1
21249,fortis,2012,10.0,8.3
21258,fortis,2012,10.6,8.5
21259,fortis,2012,10.7,8.1
21261,fortis,2012,9.4,7.3
21262,fortis,2012,10.1,8.0
21265,fortis,2012,11.8,10.2
21266,fortis,2012,12.2,11.1
21272,fortis,2012,12.9,9.9
21273,fortis,2012,10.1,8.7
21276,fortis,2012,10.1,8.3
21277,fortis,2012,9.0,7.8
21282,fortis,2012,11.7,9.9
21283,fortis,2012,10.9,10.3
21287,fortis,2012,10.4,8.4
21293,fortis,2012,12.7,8.7
21294,fortis,2012,10.5,9.8
21296,fortis,2012,9.6,8.7
21298,fortis,2012,10.6,9.0
21299,fortis,2012,10.4,7.8
21341,fortis,2012,10.5,8.5
21343,fortis,2012,10.1,8.2
21349,fortis,2012,10.6,9.2
22000,fortis,2012,10.6,9.0
19026,scandens,2012,14.3,9.4
19029,scandens,2012,13.7,9.5
19094,scandens,2012,13.8,11.0
19122,scandens,2012,12.0,8.7
19125,scandens,2012,13.0,8.4
19129,scandens,2012,13.0,9.1
19172,scandens,2012,13.6,8.7
19182,scandens,2012,12.8,10.2
19212,scandens,2012,13.6,9.6
19214,scandens,2012,12.95,8.85
19244,scandens,2012,13.1,8.8
19251,scandens,2012,13.4,9.5
19260,scandens,2012,13.9,9.2
19270,scandens,2012,12.3,9.0
19278,scandens,2012,14.0,9.8
19289,scandens,2012,12.5,9.3
19299,scandens,2012,12.3,9.0
19312,scandens,2012,13.9,10.2
19326,scandens,2012,13.1,7.7
19343,scandens,2012,12.5,9.0
19374,scandens,2012,13.9,9.5
19401,scandens,2012,13.7,9.4
19406,scandens,2012,12.0,8.0
19408,scandens,2012,14.4,8.9
19426,scandens,2012,13.5,9.4
19430,scandens,2012,13.8,9.5
19433,scandens,2012,13.0,8.0
19438,scandens,2012,14.9,10.0
19452,scandens,2012,12.5,8.95
19466,scandens,2012,12.3,8.2
19469,scandens,2012,12.8,8.8
19486,scandens,2012,13.4,9.2
19492,scandens,2012,13.8,9.4
19493,scandens,2012,13.5,9.5
19494,scandens,2012,13.5,8.1
19495,scandens,2012,13.4,9.5
19496,scandens,2012,12.3,8.4
19497,scandens,2012,14.35,9.3
19510,scandens,2012,13.2,9.3
19513,scandens,2012,13.8,9.6
19518,scandens,2012,14.6,9.2
19526,scandens,2012,14.3,10.0
19527,scandens,2012,13.8,8.9
19528,scandens,2012,13.6,10.5
19543,scandens,2012,12.9,8.9
19553,scandens,2012,13.0,8.6
19554,scandens,2012,13.5,8.8
19573,scandens,2012,13.2,9.15
19592,scandens,2012,13.7,9.5
19594,scandens,2012,13.1,9.1
19597,scandens,2012,13.2,10.2
19598,scandens,2012,12.6,8.4
19599,scandens,2012,13.0,10.0
19619,scandens,2012,13.9,10.2
19622,scandens,2012,13.2,9.3
19652,scandens,2012,15.0,10.8
19653,scandens,2012,13.37,8.3
19664,scandens,2012,11.4,7.8
19692,scandens,2012,13.8,9.8
19720,scandens,2012,13.0,7.9
19740,scandens,2012,13.0,8.9
19747,scandens,2012,13.1,7.7
19766,scandens,2012,12.8,8.9
19783,scandens,2012,13.3,9.4
19844,scandens,2012,13.5,9.4
19848,scandens,2012,12.4,8.5
19852,scandens,2012,13.1,8.5
19854,scandens,2012,14.0,9.6
19855,scandens,2012,13.5,10.2
19868,scandens,2012,11.8,8.8
19882,scandens,2012,13.7,9.5
19900,scandens,2012,13.2,9.3
19910,scandens,2012,12.2,9.0
19936,scandens,2012,13.0,9.2
19940,scandens,2012,13.1,8.7
19941,scandens,2012,14.7,9.0
19951,scandens,2012,13.7,9.1
19955,scandens,2012,13.5,8.7
19956,scandens,2012,13.3,9.4
21040,scandens,2012,14.1,9.8
21041,scandens,2012,12.5,8.6
21045,scandens,2012,13.7,10.6
21047,scandens,2012,14.6,9.0
21053,scandens,2012,14.1,9.5
21057,scandens,2012,12.9,8.1
21070,scandens,2012,13.9,9.3
21081,scandens,2012,13.4,9.6
21092,scandens,2012,13.0,8.5
21093,scandens,2012,12.7,8.2
21106,scandens,2012,12.1,8.0
21109,scandens,2012,14.0,9.5
21111,scandens,2012,14.9,9.7
21113,scandens,2012,13.9,9.9
21131,scandens,2012,12.9,9.1
21135,scandens,2012,14.6,9.5
21136,scandens,2012,14.0,9.8
21159,scandens,2012,13.0,8.4
21167,scandens,2012,12.7,8.3
21176,scandens,2012,14.0,9.6
21248,scandens,2012,14.1,9.4
21253,scandens,2012,14.1,10.0
21255,scandens,2012,13.0,8.9
21256,scandens,2012,13.5,9.1
21257,scandens,2012,13.4,9.8
21260,scandens,2012,13.9,9.3
21263,scandens,2012,13.1,9.9
21267,scandens,2012,12.9,8.9
21268,scandens,2012,14.0,8.5
21270,scandens,2012,14.0,10.6
21271,scandens,2012,14.1,9.3
21278,scandens,2012,14.7,8.9
21279,scandens,2012,13.4,8.9
21280,scandens,2012,13.8,9.7
21281,scandens,2012,13.4,9.8
21285,scandens,2012,13.8,10.5
21286,scandens,2012,12.4,8.4
21288,scandens,2012,14.1,10.0
21289,scandens,2012,12.9,9.0
21290,scandens,2012,13.9,8.7
21291,scandens,2012,14.3,8.8
21292,scandens,2012,13.2,8.4
21295,scandens,2012,14.2,9.3
21297,scandens,2012,13.0,9.8
21340,scandens,2012,14.6,8.9
21342,scandens,2012,13.1,9.8
21347,scandens,2012,15.2,9.1
